1, 0.0001, 0, 1, 36, 4.38344
1, 0.0001, 0, 2, 44, 4.40267
1, 0.0001, 0, 3, 22, 4.3598
1, 0.0001, 0, 4, 30, 4.3927
1, 0.0001, 0.1, 1, 186, 4.43158
1, 0.0001, 0.1, 2, 93, 4.43758
1, 0.0001, 0.1, 3, 40, 4.40252
1, 0.0001, 0.1, 4, 44, 4.41996
1, 0.0001, 0.2, 1, 77, 4.39896
1, 0.0001, 0.2, 2, 19, 4.43355
1, 0.0001, 0.2, 3, 241, 4.50305
1, 0.0001, 0.2, 4, 65, 4.40368
1, 0.0001, 0.3, 1, 204, 4.38735
1, 0.0001, 0.3, 2, 23, 4.45091
1, 0.0001, 0.3, 3, 84, 4.39467
1, 0.0001, 0.3, 4, 123, 4.43369
1, 0.0001, 0.4, 1, 237, 4.40888
1, 0.0001, 0.4, 2, 210, 4.36249
1, 0.0001, 0.4, 3, 104, 4.45223
1, 0.0001, 0.4, 4, 315, 4.39563
1, 0.0001, 0.5, 1, 75, 4.42228
1, 0.0001, 0.5, 2, 194, 4.37118
1, 0.0001, 0.5, 3, 206, 4.37539
1, 0.0001, 0.5, 4, 352, 4.40892
1, 0.0001, 0.6, 1, 125, 4.43176
1, 0.0001, 0.6, 2, 183, 4.43564
1, 0.0001, 0.6, 3, 298, 4.40585
1, 0.0001, 0.6, 4, 310, 4.43278
1, 0.0005, 0, 1, 6, 4.4269
1, 0.0005, 0, 2, 4, 4.38808
1, 0.0005, 0, 3, 6, 4.36927
1, 0.0005, 0, 4, 8, 4.39921
1, 0.0005, 0.1, 1, 38, 4.36076
1, 0.0005, 0.1, 2, 6, 4.3977
1, 0.0005, 0.1, 3, 4, 4.40959
1, 0.0005, 0.1, 4, 35, 4.50331
1, 0.0005, 0.2, 1, 206, 4.49616
1, 0.0005, 0.2, 2, 68, 4.43772
1, 0.0005, 0.2, 3, 76, 4.47298
1, 0.0005, 0.2, 4, 37, 4.44814
1, 0.0005, 0.3, 1, 82, 4.35505
1, 0.0005, 0.3, 2, 5, 4.41977
1, 0.0005, 0.3, 3, 17, 4.47287
1, 0.0005, 0.3, 4, 48, 4.38469
1, 0.0005, 0.4, 1, 46, 4.34698
1, 0.0005, 0.4, 2, 9, 4.42068
1, 0.0005, 0.4, 3, 16, 4.41082
1, 0.0005, 0.4, 4, 68, 4.42986
1, 0.0005, 0.5, 1, 19, 4.47236
1, 0.0005, 0.5, 2, 73, 4.4417
1, 0.0005, 0.5, 3, 37, 4.42723
1, 0.0005, 0.5, 4, 118, 4.37116
1, 0.0005, 0.6, 1, 170, 4.41265
1, 0.0005, 0.6, 2, 46, 4.42736
1, 0.0005, 0.6, 3, 182, 4.4494
