0.575813,0.58683,0.575602,
0.646925,0.644864,0.656204,
0.5873,0.631045,0.655095,
0.539529,0.586738,0.592942,
0.570463,0.608448,0.577195,
0.639424,0.601446,0.606321,
0.579134,0.608272,0.658412,
0.618666,0.562259,0.588062,
0.577205,0.623466,0.64707,
0.608103,0.621795,0.627267,
0.61244,0.607269,0.611385,
0.596993,0.59811,0.641745,
0.54012,0.589202,0.583062,
0.528423,0.555729,0.5304,
0.587113,0.587546,0.568439,
0.550233,0.592823,0.595662,
0.596535,0.581502,0.557915,
0.62646,0.639117,0.645621,
0.611286,0.580885,0.579418,
0.522737,0.536206,0.47751,
0.582383,0.590509,0.594913,
0.60619,0.611402,0.509602,
0.586939,0.590485,0.588357,
0.578581,0.587287,0.545059,
0.615298,0.614564,0.615062,
0.58238,0.623541,0.641778,
0.616634,0.618593,0.654182,
0.698403,0.664466,0.632575,
0.54588,0.592342,0.58872,
0.544819,0.580298,0.61253,
0.598766,0.586532,0.603839,
0.577027,0.586886,0.590148,
0.636958,0.626208,0.632907,
0.467686,0.532408,0.522308,
0.605924,0.585983,0.602268,
0.676302,0.653827,0.670289,
0.614661,0.618196,0.61782,
0.543698,0.554472,0.499778,
0.585479,0.592193,0.585924,
0.585574,0.621162,0.669924,
0.562587,0.578037,0.551327,
0.62177,0.615601,0.627808,
0.618117,0.627869,0.664732,
0.505802,0.513426,0.546013,
0.540913,0.592145,0.539085,
0.623344,0.627392,0.631625,
0.624128,0.619572,0.629603,
0.564512,0.598104,0.659934,
0.568687,0.595944,0.638461,
0.650985,0.647083,0.649936,
